id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
14965970:85:0xf6bf9c4b96f203e94921340bc0d3eb2d49cc50402dfdd9c38c6cad14da62ef78:158:158,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf4a845aa78dadd56e075d4e6664258ea308ba5ab,STETH,337567847141744120,WETH,295801067504009220,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1655272706
14965962:3:0x559687f3e9c44b5d237a86cb0e9cbe3c6d89a3335664decf37b99cc9346069a7:18:18,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x05bdac85005e75c04d5cae59434a9e4182aefd90,WETH,414758743288756645,DAI,440949079798613737472,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272568
14965961:9:0x2a9a7fd617770f338d801bba2b6b4bf4f68c1c557c4ab5221c7127bdb8709231:47:47,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe89775652f3cb26b37b33f9a0776b0a07f80278e,WETH,428624688280848510,DAI,455690603114842882048,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272543
14965959:9:0x3d4e3c194e290f10e9117de37addaa3ed8f53490393e3eae796123ad99ac81f4:66:66,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f24b9343b5915ac90b62efd4935f1c9d5a2350b,WETH,418814744776313164,DAI,445261201369381208064,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272509
14965952:7:0xe5206e557e1f6eec48c890977717f385458ae9e44826acdb6e05274a30c784bf:50:50,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe7f945b037424284fcac3d51dcaa5b970696bdb0,USDC,393192307,GUSD,37604,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655272420
14965950:5:0x39acbc2dbeaec933b86ea35defe24737f07bbdd264fcfb2c2979412859fed889:66:66,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf0ed8409cea91586b0b85d4b3d9003649702121d,WETH,379707412473616500,USDT,402952065,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272373
14965950:0:0x7dbc96951cc4bab896eba10bcf5aa068a107561c0389f45f99a89daa9ae6f517:14:14,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x62ec90b7ca529f353793e420c6f8233b0eaed2fc,WETH,237243673530589131,USDC,253692966,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655272373
14965949:23:0x0f86dd0ff905ec1c45d8fe530f999aa2e9d0338e9e74b95ce0da5bbda5d26c9b:219:219,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5aa5d97cea031371633c5c8bc9ea5a282ccedcd8,WETH,423777354097260770,DAI,450537179390050435072,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272351
14965948:5:0x2b06ed50b444c5b1613e47d655934e43321440ccfb7a949702e2d2f66f55faa6:50:50,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7bd904a3db59fa3879bd4c246303e6ef3ac3a4c6,WETH,284399156033174650,TUSD,304188968991248028643,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1655272337
14965946:16:0xf391038916cc36278d8c29eacad115c15d6580a2ae08a46e35cbea01a49ab43b:101:101,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd2dc49d661b8cd113bbee9d9a8ea5ac2870bbf05,WBTC,1687479,USDT,328049094,0x8472ee188899569cf6ef42bb2038facae66972d2,1655272297
