id,pool,user,reserve,borrowRateModeFrom,borrowRateModeTo,stableBorrowRate,variableBorrowRate,timestamp
14955526:333:0x74dd3b3dbde0def85ab3904801142eb9876a711c5878c026374bcd2eea17ce28:441:441,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDT,Stable,Variable,110603212853042470364182443,21206425706084940728364887,1655116298
14955436:175:0x118298f7b66df9b8f2e87111ee6413eb8390305c0dc87e22780fa2e4611a9963:330:330,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,DAI,Stable,Variable,113708609549842209389431847,27417219099684418778863695,1655115113
14955427:139:0x333c95711b97f8c3c6297e19e12b5b89bfafde3812f55b2cd89e0299ae09439a:357:357,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x875f17446d19438d75b76059c70bf2bd17226030,USDC,Stable,Variable,98946510181580214913250776,17893020363160429826501551,1655115023
14954522:320:0x28e08e83d70ef52698e1136f7a6307eeaa816e719220195135f142ccfca0cd33:499:499,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb81502b9abf2fa3c078ab0c9d7abf973d43cc3fa,DAI,Stable,Variable,113749554741538445546729221,27499109483076891093458443,1655101730
14944585:292:0xe2c10298d8e598b603a86080ef5aca4126f2f4beba19235f5cf11df902f6ae6e:342:342,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc0b995706efa1134ed5137373691fe5955ed6657,USDT,Stable,Variable,111910934088819424000271906,23821868177638848000543813,1654955095
14936526:183:0x3f94fb4d0eef78d3d863b0a8f7bf7b44529c684dccaf3407d3ebcc617cf0fe61:331:331,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbe68e47adebfc6ebdf97e29cd863f061c383d692,USDC,Variable,Stable,101238521419257610271813086,22477042838515220543626172,1654835573
14936522:104:0x0b3fe65e874389ada0ec08c17ea5706c12f6802aac3b18b720d83dc15685a5fc:162:162,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x012405e9ad437e086c4b52fdab3815a655a3c9a8,DAI,Variable,Stable,115616894592099768587724295,31233789184199537175448590,1654835520
14931472:268:0x4ad273d213528bf113aef26d306c1fe3956b83ca9aef76b945ee06294f28ac1e:583:583,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x540f45337b548824438a25734f429e4b4095476a,USDC,Variable,Stable,101366907625573497150363112,22733815251146994300726224,1654761281
14917674:195:0x111ccc94f337a68c27f6c8d4a8157071be6bc18c1ab7722e8e46ab533e0e6b5b:535:535,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x56897bd78ee42d0dda30e58a47ef3fa17805b56e,DAI,Variable,Stable,114888383829085297188595071,29776767658170594377190143,1654559049
14907227:78:0x2a2c0113cfed75a1f5c7e8921cc1cd5ded437b7ad85f7a7d732dca790999851c:58:58,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf6f9e2eb2df8dee61f11a4e2937f9f1936bf46d6,USDT,Stable,Variable,114380794849030614614246387,28761589698061229228492774,1654405758
