id,user,caller,reserve,amount,borrowRate,borrowRateMode,timestamp,stableTokenDebt,variableTokenDebt
15250531:121:0x4490638639702909e533f5dd8af3f1f251395c748669e37823dc0e56117f824f:241:241,0x573c8dc186f4c44e99ef5e7cda3df4ab28187e03,0x573c8dc186f4c44e99ef5e7cda3df4ab28187e03,USDT,150000000000,27372312443918238373492384,Variable,1659274577,0,131892629298
15250520:149:0x085c52b7510f63d6863181d72b2d3da0c5a222c8ac1356eafa6874f5dadcdf34:443:443,0xe613300cce4219251c4edb391ab211827f3eea42,0xe613300cce4219251c4edb391ab211827f3eea42,USDC,3000000000,17424673370018613580720570,Variable,1659274386,0,31665773726
15250407:192:0x565cdb096bbdd767ee19793a277584db12848c94192328c83dd47c0d17b5f367:343:343,0xbeed472990c91380c2d898d7436d66ef24a25265,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,68219001978218571123,19130873189936655492713589,Variable,1659272841,0,67052023151639296500
15250390:112:0x1eacb65d0049ba6fea2fa0024385b3f2084c55fdecceb1b76aa61c22f5d9b270:301:301,0xf194ecca33a31ec318d4bbabcd7fa89e14e003b0,0xf194ecca33a31ec318d4bbabcd7fa89e14e003b0,USDC,105000,17441933098353636121046868,Variable,1659272594,0,94584
15250380:254:0x9c0503f926a56db54c3b760a6c2339a715678ec2a6494dd2f7668cc246e3aee9:565:565,0x150fe0d1d018e107e5abb59a7d67a3af1d8cdff8,0x150fe0d1d018e107e5abb59a7d67a3af1d8cdff8,USDC,800000000,17441932104980090685713066,Variable,1659272433,0,2116978115
15250305:66:0x7e9503590c66812095093428e333b7a981fff5a904636ad55c4c1aef76dd6284:239:239,0xf3edbde6fdf7389021672f61dd79cb904aa36392,0xf3edbde6fdf7389021672f61dd79cb904aa36392,USDC,5000000000,17441908379231820487078652,Variable,1659271616,0,21834854302
15250296:339:0xe460da83db52dbc6025d0a20aca825f2447cdc725fe5a1dfcfb0ec23da22db9a:805:805,0x6d665bd49d6e3b16b2024548b11c8da0570ed371,0x6d665bd49d6e3b16b2024548b11c8da0570ed371,TUSD,3500000000000000000000,5285160517640565588374591,Variable,1659271467,0,2957328040743322178192
15250291:290:0xa4ada1c3d8139621c2f50849ace21c23543c525df96042214b4d832c26daa30e:629:629,0xdf6ca7b1c5629a3bc2df6cf5957a02b9aa9710f1,0xdf6ca7b1c5629a3bc2df6cf5957a02b9aa9710f1,USDC,10000,17441720294353452306314619,Variable,1659271308,0,9008
15250276:24:0xdcb3e12c962c28c9ef5bd6def586d676ba52e0b76abb370e24ba1e6fce6fc83f:67:67,0xf19dae09e8e5fc4463ed8a24af5bf3f63d9d4f69,0xf19dae09e8e5fc4463ed8a24af5bf3f63d9d4f69,USDC,7500000,17441719439737494686144903,Variable,1659271169,0,6756000
15250268:156:0xc77479e458473d4610ae221fd066267d23685e0a5935e1240398199439035655:216:216,0x08cce1a81d8c1bad66573d211c2f52fa01c7378a,0x08cce1a81d8c1bad66573d211c2f52fa01c7378a,USDC,1000000,17441718625723223418847782,Variable,1659271082,0,900800
15250247:326:0x4156e6b999d07bc917b33980035412d4ffbfdc256693c31a49ea664ff1fb3919:479:479,0x7ce50f2d836906a5b04b7ca6414c38e58fe7e9a6,0x7ce50f2d836906a5b04b7ca6414c38e58fe7e9a6,USDC,6400000000,17441655733585046136107351,Variable,1659270661,0,5765121796
15250228:19:0xc69242132aea9dfe71a78abc005a307fe885ee178f5155936a01a9390b5e613e:29:29,0x8aa74898459d307ce97b78ddef4014c507367f8f,0x8aa74898459d307ce97b78ddef4014c507367f8f,USDC,7500000,17441420256337282289776831,Variable,1659270413,0,6756003
15250135:257:0x16fc34bea2a64a73e8750b2319304a899e6582b7d684479e5758ef4c7846c2fb:492:492,0x7d033de1c7b58e528218f0f6e95d27eccfa06a65,0x7d033de1c7b58e528218f0f6e95d27eccfa06a65,USDC,5000000000,17441561155120300089535913,Variable,1659269278,0,18020036980
15250125:182:0x7402f7c766fa3740d008d58906ae993f67ba3c08169eff844259c19d9f2f288a:238:238,0x150fe0d1d018e107e5abb59a7d67a3af1d8cdff8,0x150fe0d1d018e107e5abb59a7d67a3af1d8cdff8,USDC,300000000,17441373703264328265248957,Variable,1659269079,0,1396338597
15250117:138:0xcff63ab1eaf22f64780df6b863232e611db539bb809c4396a6257071cfcbe618:337:337,0x6b5f1ca5c2a6486888cced7f07cb416cd0c1ca2e,0x6b5f1ca5c2a6486888cced7f07cb416cd0c1ca2e,USDC,100000,17441361976436591012591622,Variable,1659268989,0,90080
15250109:31:0x1eccafe364f4068c23b71910ae2c6933ad79e3fa41d67951ec11bf2f4e3ba373:80:80,0x0dcf8fa7f82e067773b4010cd9dac06ed02eb957,0x0dcf8fa7f82e067773b4010cd9dac06ed02eb957,USDC,7500000,17441361069327051641921734,Variable,1659268842,0,6756009
15250092:284:0x807445e11d60ea63208be8417a944b4c1ece4bcb10dfd79015d6e9d5aec6897d:264:264,0x4cc85664d4e8886b3818c5f147f7a215c17e741a,0x4cc85664d4e8886b3818c5f147f7a215c17e741a,USDC,100000,17441359524015789017870431,Variable,1659268636,0,90080
15250076:127:0xcb792cc3fbb29d66d75d3dec66c72e0fa3b83b4d9d793a67e218d84aed1ab17d:324:324,0x3c774c23c339a41153adbc37167217ffc84fe25b,0x3c774c23c339a41153adbc37167217ffc84fe25b,USDC,7500000,17458118643028869739825594,Variable,1659268395,0,6756011
15250056:86:0x8b482114541d56d0a999c57bc26837110c5f125cf9844f7b73193664f4f9c0ba:232:232,0x69b176a1cdc6ccb16b61b0a39ff6c068b715a76c,0x69b176a1cdc6ccb16b61b0a39ff6c068b715a76c,USDC,7500000,17458116640884036496061194,Variable,1659268115,0,6756012
15250030:140:0x36d7ba846dbf615480297e685033dbaf6b0cca12a209103d3e289bc2e41ce5fd:342:342,0x5d648dab19241821cc606dc44b1b83d91e70aaca,0x5d648dab19241821cc606dc44b1b83d91e70aaca,USDC,1000000,17458114208039318747018783,Variable,1659267765,0,900802
15250011:180:0xc2c81561e28d13648a09492113783a89a3ed51d8fec26b09aa2f219c69042d3b:456:456,0x8ef9e131dc534cf385f93e57a4bab2de4bc349b3,0x8ef9e131dc534cf385f93e57a4bab2de4bc349b3,USDC,100000,17458112804858616866410649,Variable,1659267543,0,90080
15249992:146:0x5707a26e7b6f825585eb223a3fd94fc30cb8f7f59bf7736df9bd331adaaf7221:81:81,0xae61306f58d7bb2562794a006c291faba9b527b6,0xae61306f58d7bb2562794a006c291faba9b527b6,AMPL,8712375783132,7529694428777998441084299488,Variable,1659267238,0,4068680206977
15249990:64:0x10a677475859fa22d1e01bbaa564ecf9b4560b4654b36b7d935d9f7758e24bf8:146:146,0xb374bdc6718b8f5ea3cb29b14f57140d06f04aff,0xb374bdc6718b8f5ea3cb29b14f57140d06f04aff,USDC,300000,17458330254160461148431757,Variable,1659267215,0,270241
15249988:18:0xd56a709fd72d23f7071351dc7c9eeed87f3aadf010157af4029adf4324823816:16:16,0x309a140ac925fe1e5e3bd3a488c2a99d65696494,0x309a140ac925fe1e5e3bd3a488c2a99d65696494,USDC,7500000,17458330156845159527311581,Variable,1659267201,0,6756015
15249957:278:0x0927d887d4c2df53b7f8d6e0ec14b0e4096dcc69bc9e516760d3827ddb345e79:446:446,0x403615b70c893e6247ae4bc7627a775c1a4dbe85,0x403615b70c893e6247ae4bc7627a775c1a4dbe85,USDT,49491000000,27362538453841961409238276,Variable,1659266764,0,43957937752
15249955:171:0x8d3d613995aeb799a3b822ff06663171bb1d405394b7e0cc203049cb4172c862:360:360,0x8fa83a0d887abb8a85da567abd42855bdff5327d,0x8fa83a0d887abb8a85da567abd42855bdff5327d,USDC,7500000,17458326948690438694130820,Variable,1659266725,0,6756017
