timestamp,date,totalBorrow,totalValueLocked,utilizationRate,liquidity
1643500681,30/01/2022,4105607259.968988500884986188565634,10696466291.96915485641319613809484,0.38382837358646704,6590859032.000166
1643586885,31/01/2022,4091394628.426347190051454110089881,10685863231.7464063519374668948451,0.3828791871742574,6594468603.320059
1643672775,01/02/2022,4003425533.976922961860278348526652,10574957321.31546122113257765971501,0.37857604644014964,6571531787.338539
1643759931,02/02/2022,4018422862.872751483806551642661345,10666119578.87642482759189312899897,0.37674646652480664,6647696716.003674
1643846209,03/02/2022,4050475272.632659663720809852993001,10629491985.16617257252862601265186,0.38106009941822616,6579016712.533512
1643932788,04/02/2022,4050243591.426532283556859198196944,10713111704.51166569940663830957938,0.37806416129506365,6662868113.085133
1644019120,05/02/2022,4070169748.173591725483126388806943,11257273483.89139724191868439016672,0.3615591070073765,7187103735.717806
1644105595,06/02/2022,4067855503.690704136808371862377745,11398417798.32213958250002899570989,0.3568789612440331,7330562294.631435
1644191960,07/02/2022,4092923602.406862100082604202315768,11484739606.13112125675840208778225,0.3563793122677207,7391816003.724258
1644278192,08/02/2022,4006662116.944010269706717416568141,11430770763.80393085363971002621947,0.35051548139092187,7424108646.8599205
1644363843,09/02/2022,3984478729.599224546105276966845891,11501956959.07664100469068341859598,0.3464174612873088,7517478229.477417
1644450870,10/02/2022,4014141693.029927443376408340796476,11278676639.10153965172953541206342,0.3559053798132202,7264534946.071612
1644536585,11/02/2022,4430672790.97537941644324157448759,11619701629.99762538366180095077541,0.38130693300567,7189028839.022246
1644623595,12/02/2022,4381852967.650354353901860925146079,11351800364.32380519093217839993907,0.3860051117020652,6969947396.67345
1644710017,13/02/2022,4379777411.812455632502625810028758,11454329926.57621442529749015379336,0.3823687147032968,7074552514.763759
1644796372,14/02/2022,4367734448.375639304023614294031172,11304265466.42280159328476854387298,0.38637932392415714,6936531018.047163
1644883086,15/02/2022,4371758557.430525851430238243757546,11379311569.6190769902483411870304,0.3841848015746765,7007553012.188552
1644969171,16/02/2022,4313616109.986825579370783273567548,11534704163.54902844160200159780443,0.3739685083227658,7221088053.562202
1645055909,17/02/2022,4300867621.203331748298536196105578,11503336023.73192308788973228619918,0.3738800303086374,7202468402.52859
1645142234,18/02/2022,4272722226.930823372619274476265926,11150181538.18832473456806449977191,0.3831975481562476,6877459311.257501
1645227764,19/02/2022,4210196421.641331243517110746498894,10923283171.71936670902812268473992,0.38543323975539034,6713086750.078035
1645314760,20/02/2022,4163483151.865250695294543932296868,10811343895.17083351843951406392923,0.38510320199184284,6647860743.305583
1645401198,21/02/2022,4139825393.00844415007115846625146,10688447352.52067592321088251769333,0.3873177512571217,6548621959.512232
1645487663,22/02/2022,4072761563.440229700149105864607059,10533339137.52525950742101378970292,0.3866543657491217,6460577574.08503
