Date,total_value_locked_(tvl) ($),gross_merchandise_value ($)
2020-08-11,1192884001.51,416470311.81
2020-08-12,1204203565.51,417575497.36
2020-08-13,1170812729.39,422252773.83
2020-08-14,1214878351.53,415601731.39
2020-08-15,1275155476.16,411398016.85
2020-08-16,1289377993.27,414084161.31
2020-08-17,1245411067.32,422268184.44
2020-08-18,1279659995.47,423454554.38
2020-08-19,1286658889.88,421210094.13
2020-08-20,1233800841.87,424408577.96
2020-08-21,1237280796.57,431559807.04
2020-08-22,1234540129.59,435577732.20
2020-08-23,1201726248.90,440756134.96
2020-08-24,1184714647.38,439322267.42
2020-08-25,1255232828.96,443397898.78
2020-08-26,1224653928.53,444581692.97
2020-08-27,1188023803.80,443880295.49
2020-08-28,1187188147.07,443483698.67
2020-08-29,1218496504.98,438371958.72
2020-08-30,1212543262.52,439122159.35
2020-08-31,1224738190.16,437768017.83
2020-09-01,1297105387.37,445004291.06
2020-09-02,1322633031.07,476424133.23
2020-09-03,1363147499.86,514323378.52
2020-09-04,1399350241.43,487435121.17
2020-09-05,1279724102.89,455154641.51
2020-09-06,1180526593.92,422796327.69
2020-09-07,1142500946.67,423147540.63
2020-09-08,1097768152.87,427086587.79
2020-09-09,1090795204.99,421527042.42
2020-09-10,1126596751.46,432781499.98
2020-09-11,1216577801.34,444788143.26
2020-09-12,1207703318.81,450595072.14
2020-09-13,1238820424.91,456511533.74
2020-09-14,1245102546.67,491246643.16
2020-09-15,1307389511.84,573362271.60
2020-09-16,1414860036.38,577752650.22
2020-09-17,1330840206.89,600142710.42
2020-09-18,1431907917.10,641865193.04
2020-09-19,1521281286.86,755003395.63
2020-09-20,1613862159.67,791576087.12
2020-09-21,1616223433.42,807120535.31
2020-09-22,1557847762.57,833705874.18
2020-09-23,1545023680.24,857986128.64
2020-09-24,1591061725.60,887081413.49
2020-09-25,1588580429.11,888292668.73
2020-09-26,1621958667.04,901160715.01
2020-09-27,1653453785.28,914800416.46
2020-09-28,1648371164.35,902220740.49
2020-09-29,1660560804.22,901317272.60
2020-09-30,1646430006.25,893087208.39
2020-10-01,1626461725.95,882246579.03
2020-10-02,1628168640.18,866429259.15
2020-10-03,1549674539.43,862730808.77
2020-10-04,1574121056.77,859782117.00
2020-10-05,1566494488.61,856888672.28
2020-10-06,1572195910.52,860003072.29
2020-10-07,1567823745.23,864449516.70
2020-10-08,1536658767.69,863427573.63
2020-10-09,1529021236.89,875427922.84
