id,pool,user,repayer,reserve,amount,timestamp
15209384:47:0xf58e2879fd84e35e737193b83b365ddc1a869ac626fa2c281e49c0071ba9e554:105:105,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,USDC,259795050298,1658721275
15209375:39:0x99e5c8f2a3f7f7b6ee6fc51738e2d45c88f079cc1d54080879e63da9991acb9f:134:134,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,0x49c3feafddaefc3bed06f4ff87ce86610c2c1076,USDC,240205217721,1658721127
15209375:33:0x0e07a838bc1a8853e83780f88b3c939c5e08a94b4ba20cf379e0c3c169ca2da0:120:120,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf79d4d09d45ace417e7075bdf1816d198e57f186,0xf79d4d09d45ace417e7075bdf1816d198e57f186,CRV,2873581287859124419845,1658721127
15209374:154:0x76ea2b1e1061c8411a4a6e2516bf8515fdaa69fc5893cb1b446bd2c9b0bdcbd5:241:241,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcf87900756f5d1abb98e8f1eaa6468135ae7b598,0xcf87900756f5d1abb98e8f1eaa6468135ae7b598,USDC,905440018,1658721118
15209351:211:0x6ebfa5979696284ad4f17a7fb322d8a082f6baed9e3ae00aa608a7a4d6da5ac6:398:398,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xe4ec3aced0a10f7532250ecbc1e05940094e3c95,0xe4ec3aced0a10f7532250ecbc1e05940094e3c95,USDC,1100000000,1658720726
15209328:188:0x23df739f94e4180c9e3368b37f724371fcaf57a5eb50d3b28ab6b6e388993849:214:214,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb4858ef9c34b0ca8771af82cfe377ecaba3f583e,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,95478556,1658720389
15209322:638:0xcc72e6c543effe959c57cee24871632a32947a4415be293bcdc29540dac007b7:414:414,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdeb9553eed4a1e9896000071e50a19ec83301574,0xdeb9553eed4a1e9896000071e50a19ec83301574,CRV,52910000000000000000,1658720230
15209308:167:0xdf2bde39e8b0eac8db87b10cf3ed1087b49450dbf105cd461657b4928f0ceb5f:375:375,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5dc50055bc813c9910e406b786e45a5ae4f8ad5b,0x5dc50055bc813c9910e406b786e45a5ae4f8ad5b,USDC,70809853682,1658720013
15209301:2:0x075042f234f143a0ec251614fb88f7b0e12245d407452dc13d314c0c29920a9f:91:91,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDT,1700171870919,1658719920
15209273:246:0xa12436e0723654779a93c011bf2bda2ff9d38380df2e8f08075d611f6041a39c:475:475,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa3ba242f405fc8e93a00d50af162f723d7328631,0xa3ba242f405fc8e93a00d50af162f723d7328631,WETH,150746660636516581600,1658719488
15209270:290:0x009db3a76fbd3c2f99f3b9b5115779c12b206e8913480082b2bcaf72a8538506:596:596,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,UNI,2500112484049523970760,1658719358
15209225:58:0x3a9ff5dea11709d3725dabbfae09acd062f8b481963d0bb0dffc409a593f8507:114:114,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,ENS,2000158773892570713694,1658718824
15209225:57:0xa842271cd1ae01783caaa06a0950acbe5cfc7c75fe80bb15cd595093f531aa2c:106:106,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,DPI,100001372576602952554,1658718824
15209196:339:0x5453f55ab8a3a42d8df62f37c381200519f892248a8d3db16488eade12c5137f:601:601,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x985bf8e0a52f27055406da54c4eb79426f156502,0x985bf8e0a52f27055406da54c4eb79426f156502,USDC,10044748,1658718244
15209156:283:0x7a6bd2ab65a6bd96b2a33126b9b589d4582d6eb4eb8ffd46f32297755275c155:597:597,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcefcca169357a18eb8c3f230f92b58562e48cae5,0xcefcca169357a18eb8c3f230f92b58562e48cae5,AMPL,6097866286566,1658717706
15209137:262:0x7ba6f05f517d206965df1418df968a4bfc1783bcff5a3fcdb7000d521dc9b69d:495:495,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb821a5da474c1baa1f3e3e6e440171cf08c7396a,0xb821a5da474c1baa1f3e3e6e440171cf08c7396a,DAI,15203178236026851640157,1658717440
15209131:154:0xcb2181a696aa1232892e7c02d5fa94883e0b3ebe117567158f7392f2c109865c:493:493,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcb11673592cc6c4b9584f33bbba6c6cf07dde3f7,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,2237000000,1658717249
15209128:98:0x745cbd519467ce0a5e6e9f0408621cd69423a3c1f1e3e464f1d6817d126e9670:1040:1040,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xeb63ee9c8be4c1d14c6d352fad5ca8f933be7af8,0xeb63ee9c8be4c1d14c6d352fad5ca8f933be7af8,CVX,10003097656951889358121,1658717206
15209090:173:0x865ec50e3975c7c8c48ec35fc5d7a2bf967dbdc2f950d415c32966fd38e0981a:284:284,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5,0x1b7a9c831b4f2088fa6eae337088ae2fc9913ef5,BUSD,52636635994609479354,1658716726
15209066:7:0x8cffab663a4387b1c54fe10b53f5c6606e452ca8df24871c535869a5eef202c2:107:107,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x24c88cd7b846b7cc09d0161c138adcb245e83df4,0x24c88cd7b846b7cc09d0161c138adcb245e83df4,DAI,14205691666771022819328,1658716298
15208941:198:0x32d574bb467d0b7a63879b306954f914c4cf6d7baaf94f698ef16e64ac57b9ac:493:493,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x31a243599d6d3c6bc81460d5ca9538e8b6dd2762,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,424849721,1658714745
15208934:328:0xf9980df9d8f8c75bcca970f57f808d9c0c039343e394646941824e5be22e417e:536:536,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcefcca169357a18eb8c3f230f92b58562e48cae5,0xcefcca169357a18eb8c3f230f92b58562e48cae5,AMPL,144137629601384,1658714653
15208933:198:0xf103f086addec0de8b01540e2f0c980346d6c8b6c05e89bbe0e235fcc3b5c2cb:568:568,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,USDC,13473181437,1658714634
15208927:3:0x3c8200c6f59da7709721745a1bde7ddc00ad015a16c8be77c590874b893f2d64:42:42,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,WETH,16790962958627230990,1658714606
15208897:88:0x969bf522cfea31bab6a1cfa929b49752f22c4281e9f59cf0997581acabcb0f59:158:158,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,LINK,2000248052345055722450,1658714164
15208878:333:0x71754f4b778536c45c5e17c02e99d74bec187098403830d50a86ba8105725cd1:632:632,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,USDC,1986530025987,1658713867
15208869:83:0x2de67430a3485d215cd0ed434f33eb94290c6005b379ea5f1c8c9ab5324937bb:165:165,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x66b870ddf78c975af5cd8edc6de25eca81791de1,SUSD,650103580000000000000000,1658713746
15208816:213:0x4a9fb7072cd417fa5499c28331057f11de67b68b7f72c9562f2589975cd6f6b9:444:444,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa976ea51b9ba3232706af125a92e32788dc08ddc,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,1306600000000000000000,1658712992
15208802:113:0xcfc690343d170a430b52dc7616cc16751533880a67cd72279c05f0a8c3d22361:153:153,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa976ea51b9ba3232706af125a92e32788dc08ddc,0xa976ea51b9ba3232706af125a92e32788dc08ddc,CRV,23448620216810197677982,1658712894
15208794:143:0xab01fd4da0400b7824e37b8a024fd6d1989084bfbf268c719c4097af8c27d4ee:318:318,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,WBTC,100001043,1658712759
15208791:56:0xd92a86f0295c6525d5f85dac225210bf6a50cf435437c40e63fdcbbd55b6af5a:104:104,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbc72198d65075fdad2ca7b8db79eff5b51c8b30d,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,1600067570,1658712711
15208783:328:0x46846136cab2a6ff87dd63fafa2c58a130061bdf77bac7e001dd82abdf281761:614:614,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3f000000220000003123e705f0d5fd5d9a53b190,0x3f000000220000003123e705f0d5fd5d9a53b190,MANA,10000783839797809725780,1658712588
15208772:2:0xa523c628f7ee1a2fafaa613fcb30f3d9f50ea06af45345254e0b9b7ed482d9e9:82:82,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDT,1723888422509,1658712399
15208766:251:0x0193f556bc0bf2d7f59d03310b72a8876d5855b1e583878d2bfe56f5cb6b300b:579:579,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x02381f433de35fb09b519575f019c753388f1cbe,0x02381f433de35fb09b519575f019c753388f1cbe,AMPL,37005635891,1658712275
15208682:212:0xd5b967c695c55fa40013233b62ff9b57d3bdf4c2eaa9c8469083d7cd04f220bd:428:428,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x70cc4c8ded041a9364317392ef8b9af9dc8e971b,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,WETH,5000115830581641940,1658711068
15208642:103:0xcdfb8c7a7d820e857631949781a15d58362f887aacf879f61dbfb02aa24df7f2:199:199,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf212ce21a97dbe30999a4c2b309d278bccbb686a,0xf212ce21a97dbe30999a4c2b309d278bccbb686a,FRAX,94984912913497197864212,1658710528
15208597:70:0x23fbbc33ade1ae03fbbb1e470df16bbff4b81868c54b5b90f5e46a2ac09a364b:126:126,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcb11673592cc6c4b9584f33bbba6c6cf07dde3f7,0xcb11673592cc6c4b9584f33bbba6c6cf07dde3f7,USDC,2565391850,1658709890
15208584:258:0x30acdf58b3c6f2e6f1daf3047d36a3c6fccef7a03dcfd49df49db66a3b950a6e:557:557,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5e5b443b2d508e529c45dbb43caa135132a0b46d,0x5e5b443b2d508e529c45dbb43caa135132a0b46d,USDC,1000009679,1658709685
15208545:102:0x4d64af22b3db75d50327feb15a81160910efb81c3595a19be228229c654644c8:239:239,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4702a3050b4353c722feb46794095feff82ac2e5,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,10002527732331882478,1658709179
15208531:256:0xa7440124fc267f54db999efd6edc63f6d4af76e57cb04703a85193a6eabc09bf:640:640,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x61c808d82a3ac53231750dadc13c777b59310bd9,0x61c808d82a3ac53231750dadc13c777b59310bd9,TUSD,239523208876859525595,1658708976
15208508:291:0x36c7bc92805549ff21287e6283dbe266ab7149ebf52008f4c8f49a5c09b2fc17:514:514,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x29ec0f1ab4c5336f11afdf208556bf4a031e5d5d,0x29ec0f1ab4c5336f11afdf208556bf4a031e5d5d,DAI,200000000000000000000,1658708700
15208484:77:0xfdf4d107cfeff185ac6d1645b990379a74e2e1f8debedc2484cd711557848e6f:212:212,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x29ec0f1ab4c5336f11afdf208556bf4a031e5d5d,0x29ec0f1ab4c5336f11afdf208556bf4a031e5d5d,DAI,1100000000000000000000,1658708303
15208433:5:0x78e1f5e0099c27bf2ccc7d772086489bf3bff748857bc169ad8085a36586817a:140:140,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDC,412568810868,1658707548
15208433:210:0x6a4bdf3501931f86a471be549d395e88a4ee95971a28be3f0c20f47d90b34f8b:468:468,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb52aa1ecf9891802ad92fac271748910766e4293,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,USDC,17607523047,1658707548
15208371:116:0xb6c10b914a2eeb971a099e2418257f526a4cd4abfcf4c3793e518ac8692c16bc:279:279,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x10092d3263b286a03c3b1eb20deb6f30774bf4d2,0x10092d3263b286a03c3b1eb20deb6f30774bf4d2,WETH,99005482343751756559,1658706653
15208348:58:0x7ca39b9c47df074a4fc53c5b8e4141f59814c934a466b98c57adcf2bc36b5143:121:121,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x40b12e2c7bc85b5c8c79ae6fd51c6af2767f7575,0x40b12e2c7bc85b5c8c79ae6fd51c6af2767f7575,USDC,2500000000,1658706390
15208232:189:0x9e8bff13d9caedb96cd53b0ac37f13a66de6c32a76b3c82f51cd1ef5c83edc9a:466:466,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xab7afccc70c9fe594849d7a2c3282af71e5e0ac5,0xab7afccc70c9fe594849d7a2c3282af71e5e0ac5,USDC,6002700715,1658704879
15208231:92:0x86b173decb9a93a3925ddfe053510708b47ab05e050c17e7e7e2ffba2e5418f9:233:233,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,0x349a01774f22f51ffd46270b48f1fdc85ac9131f,WBTC,897338581,1658704859
15208226:164:0xddf2642902658c403356939a4d2feb8e7fc7c61c0e25f01fe60b3e392a3d2f08:354:354,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5a59bbf52246bca0443e583968d661b739e69253,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,DAI,7000000000000000000000,1658704763
