id,type,user,pool,timestamp
14948603:52:0x793ef41f3274629d9fcbfa13c6b3110a9933d023a06f47f832d301502666b509:147:147,redeemUnderlying,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013659
14948603:52:0x793ef41f3274629d9fcbfa13c6b3110a9933d023a06f47f832d301502666b509:143:143,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013659
14948603:52:0x793ef41f3274629d9fcbfa13c6b3110a9933d023a06f47f832d301502666b509:136:136,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013659
14948603:52:0x793ef41f3274629d9fcbfa13c6b3110a9933d023a06f47f832d301502666b509:135:135,usageAsCollateral,0x357cb5c9f4bbba9aa3bd6cc5879f53b845ce4d3f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013659
14948591:101:0x67d7f2394ec99b66c00ea70a8df4649edea697ac791a1a421128666615ad32c3:208:208,deposit,0x4da08ac2e4e79678f218f134b0a6f8732ed5b5e4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013443
14948587:85:0x2766b9344f4c38cc4fd09aed2454c5042e0004d2b2776c3d462f205fa6767fc8:212:212,deposit,0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013395
14948573:81:0xc61d2fe65daf966851c6fabac0ce9a461cdaf769dc1a5e7a8840af7fe999b336:262:262,redeemUnderlying,0x8ae63b961a3e402c9fa2e8677026038d7a6e94dc,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655013193
14948552:33:0x07c03d50f1b71224be91b3d064252e5255825bb499ebfebf588f7a776e77805a:42:42,redeemUnderlying,0x8ae63b961a3e402c9fa2e8677026038d7a6e94dc,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655012835
14948512:145:0xab4d33a8be8c1a3f96022ed6dbbe87b91ff0732cf1a0f819ea69126280bdef0b:165:165,deposit,0x8aceab8167c80cb8b3de7fa6228b889bb1130ee8,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655012294
14948484:36:0x53ae0ca9c266ec361e41b092bb2f5d970481deb16063b93fe3bd37e30939ab6d:123:123,liquidationCall,0x099758cfe84edc6284911eac7c8461485e28377f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011973
14948459:93:0x401a85976b1e454fb950866bc4a5c59ce17eeede77b75d81594087446d43bc80:205:205,deposit,0x5498f662c60668f29f1f08fb3c0d175bce8c2f91,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011645
14948450:228:0x8bfe1d0add0c9b3556c3131ddc0209ed48acacd3c51c5e449df02b28b4529e41:405:405,deposit,0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011525
14948447:149:0x9c20edb07cc53217081ad27f839b10965d3a92aa8dce5fde34d09ca897771ebb:375:375,deposit,0x7ba7f4773fa7890bad57879f0a1faa0edffb3520,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1655011488
