id,reserve,target,amount,totalFee,initiator,timestamp
15239196:61:0x9a05e99c16cae7dd0018923c6655fd836af36c3e9bf8d57a622aa51364a06e28:170:170,USDC,0x135896de8421be2ec868e0b811006171d9df802a,10000000000,9000000,0x73239a06de2fc0a00bf06bfda9f11c432e94f6e1,1659121762
15239091:188:0x48409fd2ce57cc77ec9baf36fb7db5c182e54da795c23c815a1a6db1bd49694b:413:413,USDC,0x135896de8421be2ec868e0b811006171d9df802a,10000000000,9000000,0xa2c9aa6d3312d0e50e9f5181f14c3e7b29fb5dd4,1659120178
15239091:156:0xddbdf8964851a57f0a7b78fea7a586a5dd44facdd73ebe8de8a962ba7d980766:289:289,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,6340962871,5706866,0x3487df73df5f5338bb358f179ea4029781735b0f,1659120178
15238840:285:0x179ad472d589de0425e3c3279797ee166fef4b3237e32f223a3a5b28fb68dbfc:495:495,WETH,0x59daa74f2d15c87aac435ec18cb559f92490c100,3000000000000000,2700000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659117311
15238729:190:0x016690194b4272aa8c147c4e0d9781a674c02efe65f8060559389ecfa59ed297:501:501,WBTC,0x135896de8421be2ec868e0b811006171d9df802a,500000000,450000,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,1659115766
15238422:180:0x001b85b6f1a239a794751f941dba7cf2406a91ecf16160fe4d08cf37f0b58637:324:324,WETH,0x135896de8421be2ec868e0b811006171d9df802a,3465690203089542500,3119121182780588,0x8f3a84ff458698de843064ff2c318975abccc303,1659111794
15238403:1:0x54d64133ce3d35fee9392df4d70b708e7698b3754bccbe79fccf54c423cee81e:81:81,WETH,0x135896de8421be2ec868e0b811006171d9df802a,575625564568357800000,518063008111522020,0x14964f90c2af0ba725545cfdd5a9daec99f89f81,1659111475
15237940:12:0xa757641d05b8c77f9a85c110c2ddfb81f006fb300a1f8b329f5cf4d8510a7935:101:101,WBTC,0x8ade2816339700fde684e11c4c578123b3a8f765,3005769,2705,0x8ade2816339700fde684e11c4c578123b3a8f765,1659105381
15237931:25:0xe007b00437379cc162025fc787a4f2b161e96262ad325204db24871e72265ec0:72:72,USDC,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,3643625558,3279263,0xbda42b9760d51ad06d81228297d458f43ad40125,1659105264
15237832:101:0x0d8c3f1c452e2d1e836ec5c2d85c0a3674b4892374dd1f6a2228a7af16e4f404:256:256,DAI,0x135896de8421be2ec868e0b811006171d9df802a,1000425936827622600000000,900383343144860340000,0x14964f90c2af0ba725545cfdd5a9daec99f89f81,1659104069
15237773:192:0xc450466994dd4e056a9351f833ce26c4e0c26fff83abdd17badfbc9553cb6902:361:361,WETH,0x135896de8421be2ec868e0b811006171d9df802a,589925009123712600000,530932508211341340,0x14964f90c2af0ba725545cfdd5a9daec99f89f81,1659103239
15237746:296:0xbb0d532213530d956482f0acbf548775139ec4546470a541e6504176160f0111:498:498,USDC,0x135896de8421be2ec868e0b811006171d9df802a,100000000000,90000000,0x59e17730f2a0373a45048161dfa04d4265992567,1659102804
15237712:242:0xce79d49ef80e1b99deff483d02d1e38a8a289c532bc940c04b3a57acd9dc6302:493:493,DAI,0x135896de8421be2ec868e0b811006171d9df802a,999804050624738100000000,899823645562264290000,0x14964f90c2af0ba725545cfdd5a9daec99f89f81,1659102272
15237486:20:0xec4d60a9601fe148c5e9d467acf44ea37fb4de28404399e5baeb3ff8d1d2b82f:127:127,WETH,0x135896de8421be2ec868e0b811006171d9df802a,70000000000000000000,63000000000000000,0x59e17730f2a0373a45048161dfa04d4265992567,1659099421
15237435:310:0x99b2ce31c1c3358250dc2942607eccf5889e79e01080ecb519c280f1e6cb131f:176:176,WETH,0x56e8ed4e0a3e5ca20d00c74b12e5a9176b1e501f,711997963792248576,640798167413023,0xd9dc25577ad16508c45eec687a03c2b4200c63a2,1659098824
15237383:1:0x81756cabec71fae95145f636a9263e8f35de9976164457eb5ae0bf6cffd0536d:80:80,WETH,0x135896de8421be2ec868e0b811006171d9df802a,601248690177254800000,541123821159529320,0x14964f90c2af0ba725545cfdd5a9daec99f89f81,1659098276
15237157:5:0xede4d9f573104b52ce0fca385367ed8f802e46fed6b18d9d9e2c4ab4b433a910:43:43,USDC,0x166a309efceedc82c501014130beadd0b3097475,18903369876,17013032,0x166a309efceedc82c501014130beadd0b3097475,1659095104
15237104:137:0xcd0cbf416628af2d885e270ec1636a583d60b06b89dccc72fa54371dbae440c0:283:283,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,17773887783213433895,15996499004892090,0x06673fa861a49f6eab9ddd969e60c02956c41f5d,1659094244
15236967:316:0xd6f711e4b4149862a7f6a32fc3baf20d996ba737a84dd1df950953a53b29dc0d:654:654,USDC,0x135896de8421be2ec868e0b811006171d9df802a,14920711163,13428640,0x064ad79d7f835ecfda1047388450137b1cfbdf87,1659092342
15236421:145:0xffb0ff6964142645bcd3c07d2396a53ffe97bf56ef484f0a28280279734686a9:362:362,USDC,0x135896de8421be2ec868e0b811006171d9df802a,69147547876,62232793,0xf7463e7335033586683ac1f3df3080a0b38babe9,1659085189
15236269:80:0xa8d78699de262e5c3878e140896118c8141ce59cff924f4ca529275521a368e7:240:240,AAVE,0x135896de8421be2ec868e0b811006171d9df802a,1741965761565214700,1567769185408693,0xb5584bfdb0f869f35764f975da6c482e29e871c0,1659083107
15236092:7:0x4512e679c87210688cba173faac867668457382034fc365578b71ae3a1711a57:55:55,WETH,0x689209519e78947d52b862748e059fad1238d689,1199038364791120832,1079134528312008,0x689209519e78947d52b862748e059fad1238d689,1659080637
15235251:87:0x29cd2df1b5f7d37033ce2eb176e4331f160c67b7b9d90c6d307d21361bf3a77e:166:166,USDC,0x135896de8421be2ec868e0b811006171d9df802a,13000000000,11700000,0x4abe33463ceedc128f50ec8d845de873b48a4b4a,1659068878
15235247:290:0x8fd80dc576637cd93796158d6f811c86f5af6ae407056d85ee7a144b96e17f16:305:305,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,1756403826749587000,1580763444074628,0xc5ec4153f98729f4eaf61013b54b704eb282ecf4,1659068823
15235170:76:0x8f38256173e961d8a0649c8e39b2f843ff4804165b6f53875c0b2581c8805283:199:199,WBTC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,7142891,6428,0xc5ec4153f98729f4eaf61013b54b704eb282ecf4,1659067808
15235021:170:0x6165df2630ebb1db15e29b069bac1df968ac53cadc8743b6b41de44cf8850d3d:498:498,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,3798772131975105471,3418894918777594,0xc5ec4153f98729f4eaf61013b54b704eb282ecf4,1659065864
15234647:171:0x240c4013fe383c4974be2e0a560eb29833b246131144aa6b1d55450344a7a74d:369:369,USDC,0x498c5431eb517101582988fbb36431ddaac8f4b1,29066720378,26160048,0x4b7e2d471100b46a5d561eb18fe051e34caad535,1659060735
15234580:113:0xa8efe03f8bbf415358a3e7d01d4b6415a26990b7a197fe8b51396b706f79d9f6:223:223,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,6835087372,6151578,0xe030fb1eb2750fb9b8288f467c680af94953ca02,1659059810
15234358:9:0x47c20da6dec4d8637b4282c38392cd5684ffa7996364ad04236c829d9e40fabc:130:130,USDC,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,9944266423,8949839,0x8ed13f999f6d09507ef4e595b0ffa237c8bcfdf2,1659056561
15234048:14:0x753612721c7759afac2e9945003ab4e9851c94607c04a56674514cc2a53fc6f4:64:64,USDC,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,1612919558,1451627,0xfa9967e171f240c9dcae732437e3a4fefa93f1b8,1659052703
15234038:9:0xd5defe480ccb1be1f89983edf7a1ffb911f21b9bde048484c2a02f49bc4ffe0d:161:161,USDC,0x8ade2816339700fde684e11c4c578123b3a8f765,720719736,648647,0x8ade2816339700fde684e11c4c578123b3a8f765,1659052583
15233951:239:0xb685ecc4baa1623db0dc386bd6b39a5cea4355e1a73933e8a0696083b28a0197:551:551,UNI,0x135896de8421be2ec868e0b811006171d9df802a,49024540206847870000,44122086186163083,0x86db34e18af80ab55440340c2d4d839619982a45,1659051404
15233790:94:0xf30142568bfd9a531b42554fe1e371a8e36feee835ac615edb6fc5cc1a1216b2:548:548,LINK,0x135896de8421be2ec868e0b811006171d9df802a,1635890000000000000000,1472301000000000000,0xe9f3ba9d53ddb1dfb39e391476ee046c817e2326,1659049250
15233739:53:0x64ab6cc310c952c8768ab00c7b43af99aa574ed74a0d4f634072ef03e23236ca:196:196,USDC,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,3006492346,2705843,0xbda42b9760d51ad06d81228297d458f43ad40125,1659048512
15233690:126:0x2d58b2cbdc0fdc2bff83c819463b698b7410ab218e088f173f5e2c820e0a3e70:292:292,USDC,0x135896de8421be2ec868e0b811006171d9df802a,19475637289,17528073,0xfa8711f7aa2d1cc462be56eeb2573282ce7426a1,1659047790
15233587:113:0xc8a7e9d37f1375e62d69a208b43e4a8384c54af1e35450d933e6596f40814a42:164:164,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,5217667930,4695901,0x2877733af2015e161f300c08f72a6f7d529e61c9,1659046376
15233500:254:0x1c655293807d0f0740670024823f8401682233e75c040460c8639999c4ee1588:563:563,WETH,0x135896de8421be2ec868e0b811006171d9df802a,39832727737727180000,35849454963954462,0xf7463e7335033586683ac1f3df3080a0b38babe9,1659045078
15233451:81:0x3dc294c87b166546263999bba277c53abc7ceb4047b3041a004c178026a2ebac:294:294,DAI,0x7c0d3cf3982142eda2b992e9f912ac4dea662258,2738839838477751077908,2464955854629975970,0x34b0f030fc16c9558280af945247d909beca653e,1659044406
15233383:294:0xfd5323b57ae26560bc07e8a5bb8e0e5266799c83e92f7be151187b6f96cbbd15:537:537,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,676786001994,609107401,0x2a9c628f9b1b06a881407ae457ffb0e51fb7e752,1659043615
