block,HHI,depositers
11395342,1466.6947166446434,91
11395383,1497.2929615654523,90
11395674,1496.9242804357334,91
11395698,1494.170894915701,92
11395838,1495.3915640131156,92
11395907,1496.9242804357334,91
11396026,1481.9375470499342,92
11396053,1443.740511133144,92
11396131,1447.552793359666,92
11396145,1446.0975547778148,93
11396147,1449.224360943675,93
11396347,1450.6836706832557,93
11396510,1447.991782126717,94
11396552,1447.9479740530783,95
11396575,1446.578501172765,96
11396581,1437.8510093360676,97
11396621,1429.8716975037423,98
11396730,1427.0200643299365,99
11396923,1417.6957775919764,100
11396980,1420.5193517237453,99
11397241,1393.5397979443073,100
11397292,1369.1167966169655,101
11397331,1369.115201180472,102
11397354,2143.846910543311,102
11397377,1369.1167966169655,101
11397570,1368.25431747431,102
11397610,1319.8670134376375,103
11397698,1310.8361134039408,104
11397798,1286.989863657741,105
11397801,1309.9322836571866,105
11398120,1284.0891365285602,106
11398132,1309.9322836571866,105
11398192,1292.2743899689492,106
11398404,1283.955376873637,107
11398491,1259.642658813579,108
11398938,1259.5656051738006,109
11398962,1260.3333714039545,108
11399480,1280.579121407179,107
11399501,1280.5712637889978,108
11399935,1279.3509065475046,109
11399961,1159.0976402264962,110
11400009,1094.3326974161716,111
11400038,1196.1024630948123,110
11400055,1059.4682222748156,110
11400176,1022.6096414761918,111
11400356,1021.4708178633648,112
11400432,1014.7064517468266,113
11400523,1001.9221587680468,114
11400540,1000.8024178314355,115
11400607,1000.5217255608636,116
11400623,994.675250074251,117
11400664,994.4913866684567,118
11400685,989.9394049099054,119
11400699,974.3051801300961,120
11400810,964.609386783706,121
11400823,923.8344830945388,122
11400849,924.6572950998174,121
11400969,873.4402312786146,121
11401061,873.8723849566552,121
11401185,874.3077058931332,121
11401229,874.1597423223108,122
11401235,875.540348273338,121
11401248,817.395908890598,122
11402268,817.3437562067638,123
11402447,651.3896356175845,123
11402520,651.2359751787847,124
11402561,626.3940189062739,125
11402672,618.9468290007538,125
11402740,617.8654602514096,126
11402745,608.5997121967459,127
11402746,604.0899441486121,128
11402791,604.2036130942538,127
11402808,604.491147385099,127
11402964,601.7711004386363,127
11403080,595.893690691901,127
11403260,595.4383172905865,127
11403304,595.1837741977497,128
11403329,590.9102250248617,129
11403343,590.9517526544383,128
11403443,591.0780825738256,128
11403602,589.160306318275,129
11403745,584.1892955722865,129
11403898,578.1523066606244,129
11404147,578.1341241531592,130
11404169,576.0654184591034,130
11404361,576.0414457107936,131
11404560,568.3130600823288,132
11404599,567.1021911616469,133
11404654,566.2945408524643,134
11404673,564.4589759360674,134
11404674,565.648596901173,133
11404686,573.2024270429196,133
11404689,573.172156166032,134
11404722,571.9581280853357,135
11404782,572.0899013627312,135
11404815,571.609868991623,136
11404838,554.8338173140714,136
11404946,571.6105549652777,136
11405029,562.8176911187676,137
11405733,571.6830581709347,139
11405780,562.8176908055973,138
11406067,562.7408902834618,139
11406089,3576.7342340867476,140
11406160,3576.9344231082546,139
11406358,3580.969339090301,139
11406418,3609.223649885753,138
11406528,3652.1042314296915,137
11406782,3645.3983934530565,137
11407045,3645.4301933434876,136
11407070,3647.6159361331233,136
11407449,3648.6760168117903,136
11407601,3744.0749524336065,135
11407608,3748.592204286677,134
11407813,3709.4727676167045,134
11407903,3707.299365393081,135
11407999,3707.618090295007,135
11408026,3708.731399890679,135
11408398,3708.7292061833027,136
11408539,3708.731399890679,135
11408584,3708.513963184487,136
11408755,3708.4149033292274,137
11409208,3709.500763962777,137
11409272,3709.233801473586,138
11409276,3707.956531742672,139
11409490,3709.042616487206,139
11409651,3708.9998744530467,139
11409724,3708.999656977402,140
11409898,3666.217936577428,141
