timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1634168605,6609523811.904971645996181984,13891207879.85726263169954793773734,13891207879.85726263169954793773734
1634254795,6759938775.528555487808027073,14626317050.34562640741324189153058,14626317050.34562640741324189153058
1634342256,6939720423.557740324361360667,15252475224.22661700738324870594657,15252475224.22661700738324870594657
1634428697,6973184641.752976630916931203,15189561473.77316279236529930972513,15189561473.77316279236529930972513
1634514704,6984961147.23673491910236018,14907863515.05775622020095564125397,14907863515.05775622020095564125397
1634600811,6978054275.577337032546331397,15023925675.13018699580286795235344,15023925675.13018699580286795235344
1634687935,6937498616.579353581186284077,15185694152.08481047855863330428135,15185694152.08481047855863330428135
1634774168,7090690176.739861014227076089,16354016623.79058339538071342101633,16354016623.79058339538071342101633
1634860068,7308814460.185683140936906145,16556300243.11237383536614202462853,16556300243.11237383536614202462853
1634946703,7309155786.246737091208409152,16115835310.93720680804511584190173,16115835310.93720680804511584190173
1635033557,7281788521.778217667924623213,16422524092.17103109144919303935596,16422524092.17103109144919303935596
1635119771,7268802671.759291355135804361,16309683258.66818856874417802261642,16309683258.66818856874417802261642
1635205344,7244750388.754462144352793262,16680554899.72951115992439436539576,16680554899.72951115992439436539576
1635292323,7258658629.223640663857900807,16896748216.47287505490150933715194,16896748216.47287505490150933715194
1635379009,7584439347.34663480064626788,16429874046.62095777095192208072538,16429874046.62095777095192208072538
1635465175,7556790733.944199923034676439,17057509099.28004567764112873376329,17057509099.28004567764112873376329
1635551753,7616064096.907195585040084044,17513166192.39671093384459793811726,17513166192.39671093384459793811726
1635634882,7685141710.027964180820094412,17446352846.89751465982814025660273,17446352846.89751465982814025660273
1635722440,7704369443.758029003142214195,17353179453.93820402579162836173688,17353179453.93820402579162836173688
1635810856,7730822503.454023066311313299,17458111192.66596422137137864290959,17458111192.66596422137137864290959
1635897402,7720177680.83148699898857725,18042345139.63119654639980417443107,18042345139.63119654639980417443107
1635983917,7763413392.829926973321047984,18545189209.20981350003302158480951,18545189209.20981350003302158480951
1636070278,7720838924.796231862231416538,17988778568.48758590401615751561253,17988778568.48758590401615751561253
1636156524,8032580808.056632953936232625,18477226554.1324224343471502013667,18477226554.1324224343471502013667
1636243023,8019333633.054629468903828634,18611942749.55606205451747449900478,18611942749.55606205451747449900478
1636329578,8028145828.922918301198943159,18936461089.66049083345484770817098,18936461089.66049083345484770817098
1636414646,8270398783.460626440038194693,19721972687.17818145908721424539465,19721972687.17818145908721424539465
1636501926,8486113034.335382147078751424,19823178496.79361994697763296125414,19823178496.79361994697763296125414
1636588739,8420560895.741359315182007192,18997777732.000922047592971495291,18997777732.000922047592971495291
1636674927,8408013440.493658823871880585,19570360194.60459994734302009631118,19570360194.60459994734302009631118
1636761232,8428920027.774575192562757738,19357940469.4323281621257279747762,19357940469.4323281621257279747762
1636845928,8380417667.584249727502368292,19231776567.40059894804096814572659,19231776567.40059894804096814572659
1636934386,8333336773.435859947898976069,18916925981.40573670188464411331137,18916925981.40573670188464411331137
1637020772,8323326884.420604418243856693,18902866957.74698757110029054171816,18902866957.74698757110029054171816
1637107077,8339315636.473421876535643497,17954955170.35277546828055755163651,17954955170.35277546828055755163651
1637193253,8332093211.26926267011354083,18209007808.30738119790200805409128,18209007808.30738119790200805409128
1637279941,8398445143.101564854424377834,17705154850.45803321893996143844928,17705154850.45803321893996143844928
1637366116,8486072451.442673446393857674,18467530162.56506209018458164208463,18467530162.56506209018458164208463
1637452428,8493784501.761376905413881395,19000651046.51872966134084094212968,19000651046.51872966134084094212968
1637539018,8545964961.353517777610672783,18946069819.92979313695800161641055,18946069819.92979313695800161641055
1637625115,8511705501.110787761576791722,17880465339.43453507598265803839111,17880465339.43453507598265803839111
1637711381,8580588227.330260348058133619,18658766619.00723810064396822396226,18658766619.00723810064396822396226
1637797527,8599029896.379213204083823206,18543101195.73378620455148101855433,18543101195.73378620455148101855433
1637884693,8669300256.645180456460765892,19370254449.01526397288908827176158,19370254449.01526397288908827176158
1637970715,8568675361.619406184816789592,17977518018.89134869609642004501676,17977518018.89134869609642004501676
1638057590,8557070199.333419903376479191,18063374979.64308740269376350179552,18063374979.64308740269376350179552
1638143957,8567632862.406841187923550326,18661584187.44755371222728542803273,18661584187.44755371222728542803273
1638230148,8620039946.000019623327762918,19336560934.54420276422690381579232,19336560934.54420276422690381579232
1638316679,8704643811.003960816467444003,20071898597.44779256655157338899664,20071898597.44779256655157338899664
1638402818,8741313193.980935679295552997,19948419533.51825961551393298945669,19948419533.51825961551393298945669
1638488146,8761043436.715103108282487406,19606111544.68856480287474378701208,19606111544.68856480287474378701208
1638575207,8746131412.762202315707376453,18587431008.26139224995040396212023,18587431008.26139224995040396212023
1638661683,8791435625.023829075587376585,18233185236.87656992263011481870128,18233185236.87656992263011481870128
1638748310,8857418328.553999368535141058,18544967991.14667073258173254982683,18544967991.14667073258173254982683
1638835001,8797666347.619062006052386165,19202851813.23247292635697371134356,19202851813.23247292635697371134356
1638921514,8806014617.758679361905955541,19304781061.69982125480518151957067,19304781061.69982125480518151957067
1639007292,8818759643.064829080693938324,19582664593.29669179170600765093244,19582664593.29669179170600765093244
1639093795,8805877549.460163472930060782,18573198718.07213195250724804231318,18573198718.07213195250724804231318
1639180679,8777181690.114087529244612056,18215183832.28023547595245961296615,18215183832.28023547595245961296615
1639266868,8797356733.472766359384111034,18309266597.51162389772100437185551,18309266597.51162389772100437185551
1639353564,8794422909.836297936678441722,18737677203.29800410008460322478736,18737677203.29800410008460322478736
1639439950,8742518113.549732005989765312,17190827528.91394885293733177753887,17190827528.91394885293733177753887
1639526389,8695781427.482793570952024743,17701765113.48355736146060171893055,17701765113.48355736146060171893055
1639612687,8757219345.775064849011573178,18490562891.90643359862568928062634,18490562891.90643359862568928062634
1639699163,8775422706.254798437792638733,18441545999.52746597571859994731638,18441545999.52746597571859994731638
1639784803,8778785728.025849051599126109,18180565282.60762891434658772340477,18180565282.60762891434658772340477
1639871774,8809166438.747818592467671311,18419114739.50957574516484196612854,18419114739.50957574516484196612854
1639958397,8814673621.454315487368792939,18176479581.07787021128672530994482,18176479581.07787021128672530994482
1640044762,8841756500.025333250663056437,18278554214.70365056623830979299652,18278554214.70365056623830979299652
1640130987,8869981941.780523688358727793,18696163866.5667458120702788507385,18696163866.5667458120702788507385
1640217220,8880190117.451253031797231573,18650812243.67347247401087608657971,18650812243.67347247401087608657971
1640302124,8872595662.307201849891441556,19050803022.16375831374550733887478,19050803022.16375831374550733887478
1640390299,8902887907.642643433124985159,19062769979.19868792092182904215595,19062769979.19868792092182904215595
1640476487,8900271088.290898199881075229,19152549853.35272902718684837035624,19152549853.35272902718684837035624
1640562962,8945063354.882732095177263576,19073323560.80646698310291304047149,19073323560.80646698310291304047149
1640649143,8935614184.958419503016839153,19149518240.15550328423271331016041,19149518240.15550328423271331016041
1640735836,8890945685.988712012454056848,18112048111.47116333799444688791566,18112048111.47116333799444688791566
1640822214,8878213684.654992419290745035,17935155582.24497805011190350591143,17935155582.24497805011190350591143
1640908361,8828979212.140703871808505748,17760246319.93635396935919669957502,17760246319.93635396935919669957502
1640995102,8848563444.005030665960197276,17627612218.37894305899823255828475,17627612218.37894305899823255828475
