timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1617062302,805050668.4074354218230169714454359,3553049747.419704888655873357061986,3553049747.419704888655873357061986
1617148738,822452956.2374460027325734680705605,3699188070.569907802345803803589284,3699188070.569907802345803803589284
1617235180,821534527.5188938539583955475017748,3722728200.674416592337623860940137,3722728200.674416592337623860940137
1617321542,841400830.8501593564550659311899554,3757292167.022998228895544197431832,3757292167.022998228895544197431832
1617407964,873587342.6903421615114661643821603,3962359011.978069151173213820868022,3962359011.978069151173213820868022
1617494375,868627111.6217266715463117377473211,3742621203.351821291226868078621681,3742621203.351821291226868078621681
1617580760,871185970.987493202918478014776568,3829479252.818418345773882669523771,3829479252.818418345773882669523771
1617667161,863926622.7948339710692218494332026,3818011571.178302452034262957815741,3818011571.178302452034262957815741
1617753578,838668269.2817490979978638119710204,3735799424.517520325082729495476986,3735799424.517520325082729495476986
1617839802,804429498.6145070519196151682465615,3530746628.166061256294051534641415,3530746628.166061256294051534641415
1617926381,832023806.1481356127096993902736495,3649333939.423359384135866080467502,3649333939.423359384135866080467502
1618012797,823805044.8186971461008470179126956,3633911371.68434498315903164672711,3633911371.68434498315903164672711
1618098905,833530172.9852178229278330093637821,3642931829.433021935675755539130873,3642931829.433021935675755539130873
1618185549,823134496.692913728075708718599953,3676736898.23506529860149269944076,3676736898.23506529860149269944076
1618271994,824520435.4367052226816815491765032,3751616559.435850764010751958158391,3751616559.435850764010751958158391
1618358336,842081959.1204460499688028802383685,3872613977.983621636151936662389719,3872613977.983621636151936662389719
1618444728,847782861.8067566552111446470654656,4080367002.37056266672596996902141,4080367002.37056266672596996902141
1618531024,859229201.2701603943005329487033719,4273777739.535011505993353034978047,4273777739.535011505993353034978047
1618617556,873816067.26541580565524630850346,4247036551.486933264298589926355973,4247036551.486933264298589926355973
1618703988,896096533.4013138246446753567574279,4160431700.926274547052303992088139,4160431700.926274547052303992088139
1618790388,871535821.6095490636632398273571756,3939098476.405226842135217585044582,3939098476.405226842135217585044582
1618876760,877699044.6674841422748954192047503,3813620574.178821015357364881991301,3813620574.178821015357364881991301
1618963189,885336940.5118857121392421181871118,3955007044.588301374953726589468065,3955007044.588301374953726589468065
1619049578,907162997.2831668986414415474558338,4071198221.322173234687774250217583,4071198221.322173234687774250217583
1619135999,902627091.5347874992029559013744868,4010156747.454374560025260214786897,4010156747.454374560025260214786897
1619222335,865065550.4643671587190329082730461,3806194270.178023694731699642426424,3806194270.178023694731699642426424
1619308753,873409002.2071938253640804456183643,3749961250.277208449080499864651766,3749961250.277208449080499864651766
1619395191,904533198.4238107566851558630121827,3845195915.11677163824217424997015,3845195915.11677163824217424997015
1619481511,1938413762.361788098848405964534985,5950181939.584044589468454461732121,5950181939.584044589468454461732121
1619567976,2554497159.321012742656968119999065,7507666944.260069358401625585677121,7507666944.260069358401625585677121
1619654288,2818461095.491664859420566698908015,8306772533.720847563225274320435251,8306772533.720847563225274320435251
1619740728,3239436896.790250797841636870561483,8852481136.494103777487416931366282,8852481136.494103777487416931366282
1619827197,3674344635.952984702603036082635134,9804602025.333030748355962303141516,9804602025.333030748355962303141516
1619913565,3717164909.577019075072940904400744,10209924503.91220344515037189728582,10209924503.91220344515037189728582
1619999928,3772399470.448782671757010778766532,10317513308.89868379552494491497938,10317513308.89868379552494491497938
1620086379,3935803469.839610359088478431763362,11610383866.73091402029452095567138,11610383866.73091402029452095567138
1620172790,4031291201.015391440848462443751335,11452858633.08235169258796704649941,11452858633.08235169258796704649941
1620259168,4365575589.112494590709040032047156,11485492628.96519772042594255901231,11485492628.96519772042594255901231
1620345584,4501691806.331998833853603662801742,12249601716.65222735779850236203795,12249601716.65222735779850236203795
1620431995,4468194394.398826147588895870377809,12174474868.13401876527113043744765,12174474868.13401876527113043744765
1620518350,4443085439.990569581703977338296663,12218728512.82853084032930599861036,12218728512.82853084032930599861036
1620604738,4370304246.277278582252548939380711,12248561768.51655909643355278682329,12248561768.51655909643355278682329
1620690938,4442099747.158850765382886828906059,12096697531.74263478351007592861426,12096697531.74263478351007592861426
1620777590,4478092673.076308477536913629719521,12505323028.03582130877766504990546,12505323028.03582130877766504990546
1620863992,4487828091.954003545578463523306488,12220523024.63166642919077127192444,12220523024.63166642919077127192444
1620950389,4526723776.947399158203166353079741,12047832158.18164070836537850972431,12047832158.18164070836537850972431
1621036710,4799801716.091767560760884337348542,13271814490.18625868294761580892116,13271814490.18625868294761580892116
1621123166,4756173861.061397613009777946613451,12430889955.0477951236151237498327,12430889955.0477951236151237498327
1621209594,5033605359.130228072401519555708482,12703800449.73257000001268034265426,12703800449.73257000001268034265426
1621295964,4929808242.676042627697851564542755,12382689015.58685483452946473156101,12382689015.58685483452946473156101
1621382372,4966527287.912888598712296607681988,12738864776.70295289023141984603408,12738864776.70295289023141984603408
1621468787,4291077971.170314060044671713384461,10233181599.65045505973298132802293,10233181599.65045505973298132802293
1621555190,4208742297.882937528328068066480273,10605143348.92994621349945159206164,10605143348.92994621349945159206164
1621641522,4249138405.736417562499678521612165,10072099921.87503538890905768712714,10072099921.87503538890905768712714
1621727961,4534115293.355093010374254943630572,10042939483.54716605477744788356983,10042939483.54716605477744788356983
1621814397,3539198548.844890432176351367721407,8223299453.164692864536199757733584,8223299453.164692864536199757733584
1621900791,3626081900.113996456755370300467755,9373255010.61317228593736549336978,9373255010.61317228593736549336978
1621987141,3586637696.894271566357590896620504,9379040307.421800955720691741283318,9379040307.421800955720691741283318
1622073582,3690230478.925655165319886393374219,10272624856.70537495701255005044318,10272624856.70537495701255005044318
1622159997,4263340299.483091797861155755191854,10939688600.05554981921023059907719,10939688600.05554981921023059907719
1622246296,4242945842.732364075476812942501101,10333479596.42399318187408902508975,10333479596.42399318187408902508975
1622332795,4566912115.59648401264371303214055,11073585916.39673571141622610293706,11073585916.39673571141622610293706
1622419190,4800127835.46305115245687152959088,11837302742.49013996025621557511128,11837302742.49013996025621557511128
1622505590,4895673163.111003157647881029438073,12628672922.40074920593493665180381,12628672922.40074920593493665180381
1622591997,4854841431.814819093724888701374687,12673514158.22570515263521750926632,12673514158.22570515263521750926632
1622678370,5016181060.579240043367690699127991,13042278147.08456911867499120307544,13042278147.08456911867499120307544
1622764799,5066087401.451918043189771189182158,13160933239.57530838361715859107862,13160933239.57530838361715859107862
1622851185,5027588902.244868349155639871255091,12716265225.2771659234979553996848,12716265225.2771659234979553996848
1622937583,5025798418.126908308998141518297531,12603009982.08553672029164811992215,12603009982.08553672029164811992215
1623023995,5061295454.600430756259613742456884,12828078145.7793126960487823206701,12828078145.7793126960487823206701
1623110341,5235633196.851464813780218336660589,12546013740.40264841393197945739928,12546013740.40264841393197945739928
1623196787,5233702950.709587785785690493722734,12555339482.0619899801148356243631,12555339482.0619899801148356243631
1623283162,5263246695.304689886389037553108184,13024098280.95706197354559962967238,13024098280.95706197354559962967238
1623369598,5231564363.82333603972710808553795,12674591429.20217970958175173739138,12674591429.20217970958175173739138
1623455986,5202180715.403707779227433036183473,12304790624.92183980758000145011411,12304790624.92183980758000145011411
1623542343,5284347206.794589252080438455622514,12395528725.2277801050645316341387,12395528725.2277801050645316341387
1623628792,5301192265.416102876227530021708813,12796346462.57220406288167376020992,12796346462.57220406288167376020992
1623715165,5412217450.10634948830582602610725,12926110520.34129951624006661072035,12926110520.34129951624006661072035
1623801559,5637657099.282374473744077276263015,13071865915.78138755241734576370177,13071865915.78138755241734576370177
1623887964,5615849232.305451219768722357894063,12467715438.6085089103938794405971,12467715438.6085089103938794405971
1623974354,5767744476.515335626183246371507652,12793857476.364276525285624853942,12793857476.364276525285624853942
1624060789,5688803297.19888158418032535410229,12490823630.83063998217458740514575,12490823630.83063998217458740514575
1624147173,5740668046.383687713031350666276895,12513805682.44440743275397526277678,12513805682.44440743275397526277678
1624233507,5750401977.664532095229298186685434,12740368215.34117335524309821591153,12740368215.34117335524309821591153
1624319976,5578823310.560494168361687842342023,11831920841.37329906524183686866581,11831920841.37329906524183686866581
1624406386,5498909223.821534664594580669706974,11772215000.52162295108311579093224,11772215000.52162295108311579093224
1624492788,5499898154.866934392072963338454944,11973008496.15727610248084975739163,11973008496.15727610248084975739163
1624579133,5424109246.303348975127999920537766,12096452117.9860780205562751179188,12096452117.9860780205562751179188
1624665536,5376417028.396858546413231985712588,11701992103.06499959240346137335605,11701992103.06499959240346137335605
1624751982,5309633933.774800137260951396402813,11642281136.57585952299929600293559,11642281136.57585952299929600293559
1624838367,5174324792.580056329672947107635464,11930099249.92717852103461112704048,11930099249.92717852103461112704048
1624924775,5238095756.153102810722579681029359,12189082376.90045976560786926207649,12189082376.90045976560786926207649
1625011115,5312229426.550132010589639828482619,12560173288.67682881704442445803124,12560173288.67682881704442445803124
1625097555,5246757722.755198933535306987532215,12378865291.37823999496970433263523,12378865291.37823999496970433263523
1625183989,5235356707.938746990229212553590572,12044397981.18881497909878603725013,12044397981.18881497909878603725013
1625270379,5201940278.901110168929540446298875,12065998392.3944505379396022190595,12065998392.3944505379396022190595
1625356734,5175482685.13048863143372378492307,12214832999.8843513548311372758583,12214832999.8843513548311372758583
1625443154,5244075888.197907334913691346558451,12515718965.34707550833571912467674,12515718965.34707550833571912467674
1625529533,4957131031.143505326623026363305313,12039199438.46230996748600556592344,12039199438.46230996748600556592344
1625615980,4997934752.023899046074716955372327,12217034055.70343391073248316138209,12217034055.70343391073248316138209
1625702264,5090382405.154251978312623904425738,12425502387.58664715989773130914196,12425502387.58664715989773130914196
1625788717,5042254765.450399484634042311632299,11939381185.99664792584809171098292,11939381185.99664792584809171098292
1625875196,5032166835.581022004191277488930583,12106346937.24857251885230218118632,12106346937.24857251885230218118632
1625961551,5142606356.207213185324912346132446,12237941437.96249077218619665877164,12237941437.96249077218619665877164
1626047999,5146191780.009381636808855262588724,12321034687.8657251461446651998661,12321034687.8657251461446651998661
1626134342,5129753178.46417949002765281283307,12179667071.81576417268786975870273,12179667071.81576417268786975870273
1626220756,4961975888.406803422868240078028612,11686316838.81625681005943859383576,11686316838.81625681005943859383576
1626307154,5033300331.440332862903643353338135,12051988880.43149365706951233994256,12051988880.43149365706951233994256
1626393557,5222899181.343002482806239420177696,12243796009.90105681238783078662763,12243796009.90105681238783078662763
1626479923,6437701596.053897386500134510047676,14257844553.40349549227688926476399,14257844553.40349549227688926476399
1626566265,6435300180.259138153297591477039876,14351765899.24458016712887080204633,14351765899.24458016712887080204633
1626652790,6422438800.671955022541550113343676,14253541632.66099988769897970699711,14253541632.66099988769897970699711
1626739108,6320285068.050710533038998731586642,13952332723.34935117083550961859946,13952332723.34935117083550961859946
1626825585,6232844761.674303163008884567610052,13734577814.13155669680704753760132,13734577814.13155669680704753760132
1626911834,6244888240.730515287257012861641558,14341373286.5744591054823250130384,14341373286.5744591054823250130384
1626998366,6311739851.405244567778465177605507,14495934893.66211033551432813047401,14495934893.66211033551432813047401
1627084771,6342358674.957618337599872238896639,14714113240.48310392344319210807591,14714113240.48310392344319210807591
1627171105,6340055075.034558886946272615406846,14802169070.22135649719891197684814,14802169070.22135649719891197684814
1627257568,6326159801.088688824382683629106738,14788445581.01515466182894962598765,14788445581.01515466182894962598765
1627343583,6432629280.08896777688094572261106,15289494597.99567681606377811679732,15289494597.99567681606377811679732
1627430269,6479061212.429614499329532717578838,15498501543.54740058106441379016675,15498501543.54740058106441379016675
1627516458,6550036023.638648227373598485498777,15514501247.51561453993357004020967,15514501247.51561453993357004020967
1627603185,6548092163.686876223300806680608739,15708950997.32380380529195539062851,15708950997.32380380529195539062851
1627689581,6601859789.408047275758344560860674,15987946693.94144877469004990503001,15987946693.94144877469004990503001
1627775953,6843638067.959139219227651984273517,16483738668.65406508560898538700367,16483738668.65406508560898538700367
1627862389,6858396318.454831306243375195705024,16332918351.19641210817827532907083,16332918351.19641210817827532907083
1627948786,6922978838.073701933645248709505955,16456260423.43961206764146926798532,16456260423.43961206764146926798532
1628035184,6956430257.126047317409344499266175,16562187626.65660749679468440802304,16562187626.65660749679468440802304
1628121544,6974261069.963259805543104527684649,16999968587.17814199100100470000732,16999968587.17814199100100470000732
1628207991,7092873422.514628256576893316539649,17511757575.934697397622259228607,17511757575.934697397622259228607
1628294350,7104591496.433072585915021868796109,17561792438.19534267804960911553305,17561792438.19534267804960911553305
1628380785,7265430340.850912741087876708946789,18105951024.67485392427215775883293,18105951024.67485392427215775883293
1628467196,7281507105.026911421108516435632386,17776783393.24778926774904693998666,17776783393.24778926774904693998666
1628553587,7630979682.653595331703016164175048,18569416223.96607979565572352145355,18569416223.96607979565572352145355
1628639986,7629313395.532461314984317493370701,18422634109.81605678423019059193523,18422634109.81605678423019059193523
1628726006,7617664233.424806541467940757496945,18469750916.80166587645447297973262,18469750916.80166587645447297973262
1628812646,7756193541.085028212778274589152414,18171112872.11649126521808712502852,18171112872.11649126521808712502852
1628899191,7777319181.543189098934809410691568,18534286383.5607921581079290800228,18534286383.5607921581079290800228
1628985577,7977674078.863160020023807888483975,18994034299.20870694894638454291665,18994034299.20870694894638454291665
1629071943,8016080847.528554673422343549444451,19080672470.99908039467678260376733,19080672470.99908039467678260376733
1629158313,7956627362.21945102334016240013064,18726566691.6238164276604647534895,18726566691.6238164276604647534895
1629244790,7986539748.434104895089905443744527,18205475203.43264859837348181919146,18205475203.43264859837348181919146
1629331190,8040735961.566350581099241930682592,18228021456.12986268430537023581984,18228021456.12986268430537023581984
1629417572,8088728280.542020866374857692787592,18689963517.73282450929771208242865,18689963517.73282450929771208242865
1629503752,8072491042.357207454125279738272422,19143832342.62116891073418135396433,19143832342.62116891073418135396433
1629590197,8076764740.592345899287094358801941,18924359394.29528844534637356596174,18924359394.29528844534637356596174
1629676792,8079355332.435125460273404400665619,18916741614.72283459080131400617244,18916741614.72283459080131400617244
1629763108,8079987878.852082301752949587910584,19304381949.2257113836963455296652,19304381949.2257113836963455296652
1629849537,8117445859.971518303604349674987424,18688926884.62440181822409912177247,18688926884.62440181822409912177247
1629935895,8107708933.588191828557535915865114,18860775587.98968838448970170070132,18860775587.98968838448970170070132
1630022369,8110533992.849534948467070188492543,18621883894.06382761076720706924763,18621883894.06382761076720706924763
1630107987,8139804602.038046219388843277175946,18966376283.23181383788215749496638,18966376283.23181383788215749496638
1630195189,8139913889.4127855409815915000936,18837498412.21985596109968547051124,18837498412.21985596109968547051124
1630281410,8163555126.663226824255667782257255,18853749716.2315624371011329381855,18853749716.2315624371011329381855
1630367954,8178134108.9367208435709450171162,19117928067.97164098744422581227717,19117928067.97164098744422581227717
1630454227,8204682862.648881322474560550969838,19509811878.04751044124375292504095,19509811878.04751044124375292504095
1630540599,8319888075.004143740655469608406745,20541532618.4941410909732896561168,20541532618.4941410909732896561168
1630626980,8487344898.813039675093160092636627,20753161842.71873977289697590371324,20753161842.71873977289697590371324
1630713262,8605535245.571302747582012423826577,21114186170.42802895325668487670623,21114186170.42802895325668487670623
1630799967,8741847841.850098569811804594749872,21361063013.52163177511727730949146,21361063013.52163177511727730949146
1630886123,8794021320.96833278944006085293388,21692225583.92181323476034919754553,21692225583.92181323476034919754553
1630972604,8769822607.055131077570127585865166,21834119749.93973129115710527481621,21834119749.93973129115710527481621
1631059140,8601660099.933598447266703785625886,19643427551.28874939167348035843239,19643427551.28874939167348035843239
1631145597,8499644667.176007344228075118706172,19645641054.23654490030749283350159,19645641054.23654490030749283350159
1631231915,8590725081.192987298086058876711945,19698884687.94099531299176439769394,19698884687.94099531299176439769394
1631318297,8540498719.938379420072483647571045,19080066729.8423326487149337970475,19080066729.8423326487149337970475
1631404766,8485962642.425407766903270140862984,19232073018.26130460988306909464239,19232073018.26130460988306909464239
1631491186,8474222316.140821732461355898228128,19517806878.46230930728898772566739,19517806878.46230930728898772566739
1631577564,8443815879.564685332538657626982749,19098301631.38499700483251620685582,19098301631.38499700483251620685582
1631663902,8466319898.322688793489765332376781,19602217720.22332036727504470273086,19602217720.22332036727504470273086
1631750359,8634756630.847131125324537609218381,20309209511.35675713515085782668264,20309209511.35675713515085782668264
1631836647,8510788205.582438828609825278286979,19791965380.70805682692084447369779,19791965380.70805682692084447369779
1631923187,8524472975.42747202188730614776147,19529707006.7903186305769368262751,19529707006.7903186305769368262751
1632009306,8507947114.855147560235453377652163,19516760475.0148347917404614555622,19516760475.0148347917404614555622
1632095942,8586361768.784808937043480542713099,19384270196.32164149368264739885913,19384270196.32164149368264739885913
1632182367,8521316416.228102972044987893204755,18312138137.64374575284918063414297,18312138137.64374575284918063414297
1632268708,8371642168.226897015300176774465377,17634241425.42950942908899728226063,17634241425.42950942908899728226063
1632354702,8199943760.489425284663891649065156,18249096339.08767119255272492852049,18249096339.08767119255272492852049
1632441558,8273990058.36965369830645699093363,18658939346.6255803153296180880597,18658939346.6255803153296180880597
1632527975,8199151458.65565137006276040842253,18116968044.93656486261617234551297,18116968044.93656486261617234551297
1632614360,8248453455.256492380606774523236072,18255820892.41756434234239140979355,18255820892.41756434234239140979355
1632700765,8224238109.848548107433006918720043,18447712076.15964112411986350524455,18447712076.15964112411986350524455
1632787133,7556305573.824965678754873071977055,17336739663.0563777445919689692475,17336739663.0563777445919689692475
1632873590,7261633878.607595008329257583946246,16702272416.46522788715482478137571,16702272416.46522788715482478137571
1632959956,7229566017.429450692160998190736931,16732483546.18799099952037941695722,16732483546.18799099952037941695722
1633046360,7327806632.90230476486840698779224,17228357836.71023267928146875409384,17228357836.71023267928146875409384
1633132746,7345095456.242417445949123045967561,18081594009.83270907987702566598962,18081594009.83270907987702566598962
1633219199,7381834837.772982996861070234181315,18450906247.84200087675796830765085,18450906247.84200087675796830765085
