Date,total_value_locked,total_borrowed
2020-03-25,79489442.77,21406217.16
2020-03-26,87474178.88,21977508.09
2020-03-27,87033475.64,22340292.41
2020-03-28,85814214.89,22604182.98
2020-03-29,85728271.98,22746958.93
2020-03-30,86222354.21,22798041.14
2020-03-31,85724094.84,22323853.01
2020-04-01,86756714.91,22043038.10
2020-04-02,87651996.40,22161945.37
2020-04-03,90111373.12,22191352.50
2020-04-04,89680523.74,21889788.59
2020-04-05,90137542.95,21422342.57
2020-04-06,91445240.84,21424971.11
2020-04-07,97973773.67,24299686.14
2020-04-08,95972677.13,28311504.24
2020-04-09,96864355.27,28283864.09
2020-04-10,91013147.94,28094462.25
2020-04-11,90820359.38,27946181.29
2020-04-12,90061124.87,28070624.27
2020-04-13,89386769.73,27593736.88
2020-04-14,90661174.88,27761740.46
2020-04-15,90851528.14,27762469.16
2020-04-16,90424355.20,27765801.05
2020-04-17,93063293.52,28908912.51
2020-04-18,92052132.97,28825125.65
2020-04-19,91055649.05,29046753.60
2020-04-20,85991538.54,27111827.39
2020-04-21,82915249.99,26705449.85
2020-04-22,84831509.10,26652083.95
2020-04-23,84252101.43,25253173.54
2020-04-24,86597550.43,25598813.71
2020-04-25,87873809.58,25784002.02
2020-04-26,88718821.71,25964137.74
2020-04-27,89927299.02,25856185.21
2020-04-28,90295583.05,25981470.67
2020-04-29,92180524.47,25785505.53
2020-04-30,95043022.02,25565085.33
2020-05-01,98910818.06,26271780.65
2020-05-02,97714454.79,26421999.13
2020-05-03,98056259.42,20705979.55
2020-05-04,92565014.58,19403342.22
2020-05-05,94853273.36,18632954.87
2020-05-06,95094404.36,18928969.30
2020-05-07,90804056.29,18851756.91
2020-05-08,93977636.65,18868989.10
2020-05-09,96907086.93,19120062.30
2020-05-10,93675355.20,19364785.99
2020-05-11,92763542.76,18782566.15
2020-05-12,94178515.20,18504325.42
2020-05-13,97225103.35,18550099.03
2020-05-14,98613865.47,18469549.58
2020-05-15,96722961.84,18517920.89
2020-05-16,100298073.78,18860035.97
2020-05-17,100452123.94,18917221.92
2020-05-18,100508037.10,19614901.76
2020-05-19,101671307.22,19606117.49
2020-05-20,101565531.55,19577820.02
2020-05-21,102541424.59,19638907.17
2020-05-22,98494388.52,17925537.81
2020-05-23,97618794.94,16858653.54
2020-05-24,93369308.91,16825678.74
2020-05-25,90339446.26,16911983.77
2020-05-26,93366370.02,17022988.18
2020-05-27,93581809.86,16805546.15
2020-05-28,90849152.10,17298898.15
2020-05-29,92705195.19,17607380.89
2020-05-30,96032898.14,18187300.89
2020-05-31,98195795.34,18890678.46
2020-06-01,103831735.10,19509047.34
2020-06-02,100902461.06,19982496.69
2020-06-03,108545208.00,20165161.85
2020-06-04,109120308.57,19644023.56
2020-06-05,111462801.53,19237834.30
2020-06-06,110447797.72,19235742.37
2020-06-07,109712425.35,19335477.31
2020-06-08,111190520.37,19117329.30
2020-06-09,101091107.20,18844119.35
2020-06-10,85484500.60,19237517.47
2020-06-11,91028597.47,19237562.48
2020-06-12,89992604.40,18808989.68
2020-06-13,87525811.03,19815423.65
2020-06-14,93903263.41,23512045.98
2020-06-15,110613184.13,30756265.23
2020-06-16,171770413.56,50099403.98
2020-06-17,228326222.70,76218220.32
2020-06-18,334723410.48,112390223.38
2020-06-19,414685364.80,159263069.23
2020-06-20,495668320.67,219871733.34
2020-06-21,597938842.29,276660643.95
2020-06-22,544727875.85,322313519.37
2020-06-23,580419640.89,335803514.27
2020-06-24,558179944.99,342251588.47
2020-06-25,581885033.68,330683062.16
2020-06-26,592763733.27,360622750.29
2020-06-27,610533045.50,363053411.69
2020-06-28,603041180.04,373721776.33
2020-06-29,598980962.66,380156930.17
2020-06-30,580820415.08,384138661.46
2020-07-01,585324691.33,386484589.20
2020-07-02,594279946.56,533540106.72
2020-07-03,592062004.22,710358879.41
2020-07-04,593331575.37,754334921.51
2020-07-05,602188342.90,777763400.16
2020-07-06,632560466.36,795579332.10
2020-07-07,637001054.85,857881792.65
2020-07-08,609440267.53,858451063.24
2020-07-09,629109938.87,900781962.98
2020-07-10,643785213.97,931028100.20
2020-07-11,655203495.43,960838084.82
2020-07-12,664285130.00,987491446.12
2020-07-13,663495597.80,998217659.64
2020-07-14,665866519.99,998368429.63
2020-07-15,665010110.75,1010602480.59
2020-07-16,656397680.36,1016833880.00
2020-07-17,661137387.05,1018153089.96
2020-07-18,646568638.06,996691176.53
2020-07-19,603061057.24,897127828.16
2020-07-20,546710330.19,789257134.74
2020-07-21,547957081.77,725436115.35
2020-07-22,531051626.60,713471528.23
2020-07-23,521536209.36,666123071.32
2020-07-24,550810409.57,674520110.28
2020-07-25,581385569.30,737634450.27
2020-07-26,705242983.59,809138880.63
2020-07-27,752630156.24,1053773749.84
2020-07-28,756096651.57,1114259292.01
2020-07-29,754458534.55,1092195656.06
2020-07-30,704965587.79,1001602828.93
2020-07-31,673981624.88,898017002.55
2020-08-01,715389998.91,899058485.02
2020-08-02,745432801.44,930571018.85
2020-08-03,783030966.25,982786043.36
2020-08-04,805867933.59,1015637152.72
2020-08-05,805867933.59,1024704438.57
2020-08-06,445700.41,1053148819.70
2020-08-07,779956743.35,1029440888.93
2020-08-08,788825924.86,1032252801.59
2020-08-09,797312508.70,1054211908.93
2020-08-10,833495635.73,1090768353.26
2020-08-11,826105375.58,1132667389.21
2020-08-12,805868375.36,1213303358.09
2020-08-13,854823999.18,1254135163.18
2020-08-14,753235357.67,1033818127.09
2020-08-15,731819289.41,890209140.99
2020-08-16,749575441.80,905964742.98
2020-08-17,728616362.95,916658572.06
2020-08-18,721688577.83,912772629.67
2020-08-19,717304413.98,912569929.53
2020-08-20,773997258.89,916785964.47
2020-08-21,793219444.92,934114504.97
2020-08-22,784518106.09,948162864.04
2020-08-23,778525799.16,955816400.04
2020-08-24,805426088.41,962425048.27
2020-08-25,791112843.45,972625244.62
2020-08-26,781382482.80,961832884.86
2020-08-27,751841304.37,964332109.92
2020-08-28,783861103.43,967186329.62
2020-08-29,786495335.39,957913415.42
2020-08-30,762217107.45,928719951.46
2020-08-31,756648512.79,884290281.68
2020-09-01,778790427.49,892402968.01
2020-09-02,758756511.90,872370594.57
2020-09-03,700411963.64,784180200.47
2020-09-04,651113291.68,727895556.61
2020-09-05,647734386.72,711583748.39
2020-09-06,602996218.37,674374490.15
2020-09-07,597269105.75,684843690.43
2020-09-08,583187263.02,694549104.67
2020-09-09,590707744.56,673267703.40
2020-09-10,611322695.41,691423859.73
2020-09-11,619945399.05,708463918.90
2020-09-12,628088883.95,719064572.70
2020-09-13,657005018.69,728707673.65
2020-09-14,657091144.62,739186746.02
2020-09-15,679343034.10,778264897.45
2020-09-16,660187517.74,768783362.84
2020-09-17,654607716.59,747168108.76
2020-09-18,678794598.03,754849926.64
2020-09-19,696021014.76,817641280.44
2020-09-20,716034505.91,873471556.03
2020-09-21,721181410.10,890734760.91
2020-09-22,716144545.01,952689065.78
2020-09-23,724674863.42,978586046.27
2020-09-24,732927128.40,1016537405.61
2020-09-25,801986641.54,1049888804.65
2020-09-26,807188337.26,1054708512.36
2020-09-27,862999227.33,1058091093.84
2020-09-28,817879340.80,1064061197.11
2020-09-29,823316253.81,1068104300.86
2020-09-30,817355031.88,1082648282.98
2020-10-01,799808953.67,1063234256.20
2020-10-02,759118816.31,1031600092.51
2020-10-03,773187290.06,1027361616.93
2020-10-04,778252511.93,1032663868.87
2020-10-05,765690846.37,1045829832.22
2020-10-06,783563028.02,1067815134.27
2020-10-07,781109852.02,1087361842.08
2020-10-08,811653025.70,1096400663.00
2020-10-09,812755508.47,1110087864.56
2020-10-10,837675944.69,1111205871.55
2020-10-11,841770167.85,1125127837.54
2020-10-12,849176176.74,1138616359.51
2020-10-13,870364089.85,1139889504.27
2020-10-14,880589755.03,1148675723.21
2020-10-15,881209796.30,1156971813.20
2020-10-16,873992646.17,1155581648.59
2020-10-17,871075879.31,1146558938.59
2020-10-18,874813511.06,1142981166.98
2020-10-19,915154830.60,1170212892.20
2020-10-20,942420127.94,1164401037.04
2020-10-21,957229890.48,1184303542.67
2020-10-22,1011513533.58,1265022432.56
2020-10-23,1092140842.48,1329940338.95
2020-10-24,1126225275.13,1384439362.06
2020-10-25,1121569483.81,1399564175.28
2020-10-26,1119184766.36,1403039691.31
2020-10-27,1103455788.56,1398270552.84
2020-10-28,1128558504.96,1410826609.94
2020-10-29,1079355415.22,1391569556.03
2020-10-30,1072728662.96,1344568580.43
2020-10-31,1097514600.52,1345546570.60
2020-11-01,1099578381.79,1347252994.25
2020-11-02,1111003333.33,1355505091.19
2020-11-03,1126813455.96,1361693889.48
2020-11-04,1127308205.42,1369157823.73
2020-11-05,1216705903.04,1386940855.65
2020-11-06,1321026066.81,1409973404.21
2020-11-07,1336736060.92,1433787761.44
2020-11-08,1318677114.36,1445741018.77
2020-11-09,1383912073.21,1485292306.75
2020-11-10,1383231384.52,1518077720.55
2020-11-11,1448091405.56,1577906243.02
2020-11-12,1416447152.12,1610236867.42
2020-11-13,1470663648.73,1635460602.31
2020-11-14,1458616519.38,1648701595.14
2020-11-15,1459762945.55,1643576691.31
2020-11-16,1498749499.32,1638778418.89
2020-11-17,1495493660.43,1635492499.58
2020-11-18,1602084805.10,1674596991.92
2020-11-19,1554768782.06,1704545040.83
2020-11-20,1599995378.80,1719263296.20
2020-11-21,1585508474.41,1748368143.22
2020-11-22,1617576819.26,1770475834.31
2020-11-23,1710616046.16,1791225669.61
2020-11-24,1748457643.13,1833313059.94
2020-11-25,1757899309.34,1839590319.75
2020-11-26,1584216555.24,1669997044.32
2020-11-27,1497121166.05,1520670159.72
2020-11-28,1517631651.47,1632752525.67
2020-11-29,1568452896.58,1636515298.01
2020-11-30,1639515207.04,1659940804.68
2020-12-01,1714786322.32,1697828718.05
2020-12-02,1622908589.13,1707957068.09
2020-12-03,1628617132.18,1742780075.57
2020-12-04,1583017079.54,1726841597.66
2020-12-05,1635426258.10,1710101584.90
2020-12-06,1649858566.08,1707153203.89
2020-12-07,1669290375.64,1754671432.64
2020-12-08,1647247104.70,1805553990.81
2020-12-09,1612677968.50,1791606224.13
2020-12-10,1620929646.80,1767062216.89
2020-12-11,1588621455.24,1818373264.69
2020-12-12,1651518401.29,1795177218.43
2020-12-13,1696969531.26,1829237915.86
2020-12-14,1680615739.05,1847589382.27
2020-12-15,1714782604.92,1872078486.35
2020-12-16,1715919355.67,1900981246.88
2020-12-17,1819255565.42,1907380530.41
2020-12-18,1858809109.42,1910973804.99
2020-12-19,1925784411.75,1934339935.58
2020-12-20,1924375187.33,1900915556.49
2020-12-21,1861415036.06,1899514866.71
2020-12-22,1868159296.38,1911341390.25
2020-12-23,1887927188.23,1937549100.01
2020-12-24,1811892471.12,1926846213.65
2020-12-25,1946745035.14,1929173810.84
2020-12-26,1951027562.56,1937144915.87
2020-12-27,2049840274.33,1896189633.79
2020-12-28,2118580893.23,1893805468.70
2020-12-29,2088912483.70,1902125353.61
2020-12-30,1909295542.03,1846328109.00
2020-12-31,1934833087.11,1807960822.81
2021-01-01,1977465742.75,1791427652.43
2021-01-02,1957115007.29,1787882635.13
2021-01-03,2170576703.75,1843715779.97
2021-01-04,2159256852.81,1736135178.01
2021-01-05,2310334992.37,1691457750.74
2021-01-06,2497835664.48,1751500588.38
2021-01-07,2537535279.01,1807656579.57
2021-01-08,2722486142.75,1856328663.76
2021-01-09,2719089985.68,1915053162.43
2021-01-10,2773009649.48,1947361281.92
2021-01-11,2415818484.45,1804037054.11
2021-01-12,2460532051.30,1795987418.68
2021-01-13,2407947354.13,1859482904.16
2021-01-14,2735777843.65,2059191775.01
2021-01-15,2919905910.06,2121855698.02
2021-01-16,2918566011.57,2323789454.71
2021-01-17,2867307938.32,2343315162.19
2021-01-18,2918709987.45,2324477738.09
2021-01-19,3198647760.11,2244976680.51
2021-01-20,3009010221.31,2350405912.37
2021-01-21,3001603595.46,2371797283.60
2021-01-22,2794394670.30,1958705298.83
2021-01-23,2975787027.44,2097107592.29
2021-01-24,3083441703.05,2277066846.08
2021-01-25,3187704307.45,2325604380.61
2021-01-26,3175997685.78,2325310289.24
2021-01-27,3101711663.81,2368006136.51
2021-01-28,3084150385.37,2348767927.32
2021-01-29,3306083475.17,2401835392.37
